dialogue_id,utterance_id,model_prediction,model_outputs
0.0,0.0,0.0,"[0.3932313919067383, 0.1569172441959381, 0.06382241100072861, 0.06491333991289139, 0.06382241100072861, 0.06382241100072861, 0.1934708207845688]"
0.0,1.0,0.0,"[0.31902894377708435, 0.12350786477327347, 0.06984807550907135, 0.06984807550907135, 0.2137208878993988, 0.06984807550907135, 0.1341981589794159]"
0.0,2.0,0.0,"[0.7794751524925232, 0.04738647863268852, 0.032483313232660294, 0.0432051420211792, 0.032483313232660294, 0.032483313232660294, 0.032483313232660294]"
1.0,0.0,0.0,"[0.8207545280456543, 0.018962016329169273, 0.018962016329169273, 0.019839636981487274, 0.07916439324617386, 0.018962016329169273, 0.023355379700660706]"
1.0,1.0,1.0,"[0.05665506422519684, 0.36960676312446594, 0.05665506422519684, 0.05665506422519684, 0.1508723348379135, 0.05665506422519684, 0.2529006600379944]"
1.0,2.0,4.0,"[0.2698391377925873, 0.06243045628070831, 0.06243045628070831, 0.06243045628070831, 0.29158031940460205, 0.06243045628070831, 0.18885868787765503]"
1.0,3.0,4.0,"[0.1005510613322258, 0.053256481885910034, 0.05169031023979187, 0.05169031023979187, 0.4088260531425476, 0.05169031023979187, 0.28229549527168274]"
1.0,4.0,0.0,"[0.47381171584129333, 0.034195564687252045, 0.034195564687252045, 0.034195564687252045, 0.3545646369457245, 0.034195564687252045, 0.0348413921892643]"
1.0,5.0,0.0,"[0.7681602239608765, 0.026924006640911102, 0.025984590873122215, 0.025984590873122215, 0.10097739100456238, 0.025984590873122215, 0.025984590873122215]"
1.0,6.0,6.0,"[0.06106923148036003, 0.24863749742507935, 0.06106923148036003, 0.06106923148036003, 0.20709842443466187, 0.06106923148036003, 0.2999871075153351]"
1.0,7.0,6.0,"[0.09329722821712494, 0.26085183024406433, 0.08022141456604004, 0.08022141456604004, 0.14432932436466217, 0.08022141456604004, 0.26085737347602844]"
2.0,0.0,0.0,"[0.8630321621894836, 0.020766381174325943, 0.020766381174325943, 0.020766381174325943, 0.03230996057391167, 0.020766381174325943, 0.02159234695136547]"
2.0,1.0,1.0,"[0.3155756890773773, 0.33919838070869446, 0.05429879575967789, 0.048579953610897064, 0.06986977905035019, 0.06743494421243668, 0.10504241287708282]"
2.0,2.0,0.0,"[0.6136919260025024, 0.028169991448521614, 0.028169991448521614, 0.028169991448521614, 0.2430906444787979, 0.028169991448521614, 0.03053741343319416]"
2.0,3.0,4.0,"[0.1334388256072998, 0.2398374229669571, 0.050570230931043625, 0.050570230931043625, 0.3253215253353119, 0.050570230931043625, 0.14969153702259064]"
2.0,4.0,6.0,"[0.13907848298549652, 0.13479454815387726, 0.05752595514059067, 0.05752595514059067, 0.1644475907087326, 0.05752595514059067, 0.3891015350818634]"
2.0,5.0,4.0,"[0.14572635293006897, 0.11718204617500305, 0.05022846907377243, 0.05022846907377243, 0.3842671811580658, 0.05022846907377243, 0.20213904976844788]"
2.0,6.0,4.0,"[0.11837322264909744, 0.1201915591955185, 0.0632164254784584, 0.0632164254784584, 0.3379882574081421, 0.0632164254784584, 0.23379769921302795]"
2.0,7.0,4.0,"[0.27377718687057495, 0.05426095798611641, 0.03918701410293579, 0.03918701410293579, 0.5028981566429138, 0.03918701410293579, 0.05150265991687775]"
2.0,8.0,4.0,"[0.12653711438179016, 0.06093955785036087, 0.035736214369535446, 0.035736214369535446, 0.6218613982200623, 0.035736214369535446, 0.08345330506563187]"
2.0,9.0,0.0,"[0.886446475982666, 0.014716608449816704, 0.01425742544233799, 0.028240393847227097, 0.027824297547340393, 0.01425742544233799, 0.01425742544233799]"
2.0,10.0,0.0,"[0.7675977945327759, 0.07629821449518204, 0.021820468828082085, 0.025538532063364983, 0.05409769341349602, 0.021820468828082085, 0.03282681852579117]"
3.0,0.0,0.0,"[0.7231974601745605, 0.032130975276231766, 0.032130975276231766, 0.032130975276231766, 0.11614761501550674, 0.032130975276231766, 0.032130975276231766]"
3.0,1.0,1.0,"[0.1566513478755951, 0.27734747529029846, 0.07062309235334396, 0.07062309235334396, 0.24937482178211212, 0.07062309235334396, 0.10475708544254303]"
3.0,2.0,0.0,"[0.8397216796875, 0.020845673978328705, 0.020845673978328705, 0.020845673978328705, 0.05604999512434006, 0.020845673978328705, 0.020845673978328705]"
3.0,3.0,0.0,"[0.7377731800079346, 0.03482326492667198, 0.03410178795456886, 0.03410178795456886, 0.08582805842161179, 0.03410178795456886, 0.03927013278007507]"
3.0,4.0,0.0,"[0.6942604184150696, 0.027385758236050606, 0.027385758236050606, 0.0403890460729599, 0.1558075100183487, 0.027385758236050606, 0.027385758236050606]"
3.0,5.0,1.0,"[0.06197281554341316, 0.31446409225463867, 0.06197281554341316, 0.06197281554341316, 0.2957865297794342, 0.06197281554341316, 0.1418580263853073]"
3.0,6.0,0.0,"[0.6054754257202148, 0.03941433131694794, 0.03800234571099281, 0.03800234571099281, 0.1978544443845749, 0.03800234571099281, 0.04324882850050926]"
4.0,0.0,1.0,"[0.05281965062022209, 0.49352508783340454, 0.09504384547472, 0.05281965062022209, 0.13694241642951965, 0.05281965062022209, 0.11602970212697983]"
