dialogue_id,utterance_id,model_prediction,model_outputs
0.0,0.0,1.0,"[0.047009233, 0.5833697, 0.12784746, 0.057820488, 0.025738724, 0.07954722, 0.07866728]"
0.0,1.0,0.0,"[0.32164365, 0.04915007, 0.067095585, 0.09367519, 0.24639371, 0.09162759, 0.13041414]"
0.0,2.0,0.0,"[0.35103637, 0.06461884, 0.10204226, 0.07576817, 0.19884421, 0.07960793, 0.12808213]"
1.0,0.0,0.0,"[0.27193958, 0.04214588, 0.09647946, 0.10673117, 0.2102137, 0.108711876, 0.16377832]"
1.0,1.0,2.0,"[0.1364609, 0.08718251, 0.26614937, 0.12940022, 0.0864247, 0.13015431, 0.1642279]"
1.0,2.0,2.0,"[0.10411162, 0.062437687, 0.30333596, 0.14183101, 0.07546512, 0.13121593, 0.18160269]"
1.0,3.0,2.0,"[0.16688922, 0.05042982, 0.21503809, 0.12383863, 0.1090823, 0.13962826, 0.19509359]"
1.0,4.0,4.0,"[0.24967246, 0.0785973, 0.061338678, 0.10130506, 0.3026565, 0.09342363, 0.11300641]"
1.0,5.0,0.0,"[0.28920862, 0.061429564, 0.08456725, 0.11208058, 0.24200962, 0.08968343, 0.12102089]"
1.0,6.0,2.0,"[0.1364609, 0.08718251, 0.26614937, 0.12940022, 0.0864247, 0.13015431, 0.1642279]"
1.0,7.0,2.0,"[0.1364609, 0.08718251, 0.26614937, 0.12940022, 0.0864247, 0.13015431, 0.1642279]"
2.0,0.0,0.0,"[0.40098375, 0.05601546, 0.07166491, 0.056593128, 0.23082104, 0.07500828, 0.108913444]"
2.0,1.0,1.0,"[0.057457447, 0.46609622, 0.24267615, 0.054793138, 0.028782962, 0.06466563, 0.08552843]"
2.0,2.0,2.0,"[0.19915318, 0.053880908, 0.23632403, 0.13138457, 0.10658734, 0.103285365, 0.16938457]"
2.0,3.0,0.0,"[0.25513345, 0.074026965, 0.17472479, 0.091605425, 0.14588992, 0.107562475, 0.15105689]"
2.0,4.0,0.0,"[0.2942491, 0.038366266, 0.09172595, 0.101170175, 0.20435603, 0.11531079, 0.15482171]"
2.0,5.0,0.0,"[0.29084808, 0.03958582, 0.06646455, 0.08987494, 0.2708705, 0.104475774, 0.13788025]"
2.0,6.0,5.0,"[0.1434942, 0.055630073, 0.04653711, 0.121459424, 0.1992367, 0.26790664, 0.16573583]"
2.0,7.0,0.0,"[0.31457666, 0.04470705, 0.051781245, 0.071768664, 0.30774635, 0.08721486, 0.12220523]"
2.0,8.0,0.0,"[0.31457666, 0.04470705, 0.051781245, 0.071768664, 0.30774635, 0.08721486, 0.12220523]"
2.0,9.0,0.0,"[0.40098375, 0.05601546, 0.07166491, 0.056593128, 0.23082104, 0.07500828, 0.108913444]"
2.0,10.0,4.0,"[0.2906203, 0.04316874, 0.026017474, 0.049822323, 0.4282271, 0.076432616, 0.08571135]"
3.0,0.0,0.0,"[0.3749354, 0.04517725, 0.057323232, 0.063844785, 0.27180877, 0.076334335, 0.1105762]"
